dataset_id,l3_filename,LTER site,provided identifier,doi,body size,dispersal habit,mobility,trophic group,biome,organism_group,initial.year,study.length,n.years,n.plots,n.taxa,organism
fce-diatoms-catano,L3-fce-diatoms-catano.csv,FCE,knb-lter-fce.1211.3,https://doi.org/10.6073/pasta/cb0f7e88d28075a6ff1f59d008bb732c,0.001,passive,sessile,primary producers,freshwater,algae,2005,7,7,30,192,diatoms
and-plants-mtStHelens,L3-and-plants-mtStHelens.csv,AND,Ecology data paper,https://doi.org/10.1890/09-2357.1,0.5,passive,sessile,primary producers,terrestrial,plants,1989,21,21,12,85,plants
luq-snails-compagnoni,L3-luq-snails-compagnoni.csv,LUQ,knb-lter-luq.107.9996736,http://dx.doi.org/10.6073/pasta/ec88f3dd4ed8e172802b52ff3bb82aa8,0.002,active,mobile,consumers,terrestrial,invertebrates,1991,27,27,40,19,snails
cap-birds-banville,L3-cap-birds-banville.csv,CAP,knb-lter-cap.46.15,http://dx.doi.org/10.6073/pasta/201add557165740926aab6e056db6988,0.1,active,mobile,consumers,terrestrial,birds,2001,16,16,35,104,birds
cdr-grasshopper-compagnoni,L3-cdr-grasshopper-compagnoni.csv,CDR,knb-lter-luq.107.9996736,http://dx.doi.org/10.6073/pasta/239b3023d75d83e795a15b36fac702e2,0.02,active,mobile,consumers,terrestrial,invertebrates,1989,18,18,19,51,grasshopper
bes-birds-nilon,L3-bes-birds-nilon.csv,BES,knb-lter-bes.543.170,http://dx.doi.org/10.6073/pasta/c790bd0b1bdde870b5b1e7f631d3d38e,0.1,active,mobile,consumers,terrestrial,birds,2005,5,5,52,33,birds
sgs-plants-catano,L3-sgs-plants-catano.csv,SGS,knb-lter-sgs.140.17,https://doi.org/10.6073/pasta/f6ecfd9d99c9cc83e47469d10b620cfb,1,passive,sessile,primary producers,terrestrial,plants,1999,8,8,6,84,plants
knz-grasshopper-compagnoni,L3-knz-grasshopper-compagnoni.csv,KNZ,knb-lter-knz.29.12,http://dx.doi.org/10.6073/pasta/aec67f5d71d14cd39fe8b6b34b4719f4,0.02,active,mobile,consumers,terrestrial,invertebrates,1996,20,19,13,43,grasshopper
fce-fish-rehageWet,L3-fce-fish-rehageWet.csv,FCE,knb-lter-fce.1164.6,https://doi.org/10.6073/pasta/4cc7a504b072f661f9b82c7c4536bd30,0.5,active,mobile,consumers,freshwater,fish,2011,6,6,14,56,fish
fce-fish-rehageDry,L3-fce-fish-rehageDry.csv,FCE,knb-lter-fce.1164.6,https://doi.org/10.6073/pasta/4cc7a504b072f661f9b82c7c4536bd30,0.5,active,mobile,consumers,freshwater,fish,2006,12,11,10,56,fish
and-birds-wisnoski,L3-and-birds-wisnoski.csv,AND,knb-lter-and.4781.2,https://doi.org/10.6073/pasta/b75f34d8de6fcfa59c882bb1acf96226,0.1,active,mobile,consumers,terrestrial,birds,2009,5,5,184,81,birds
cap-herps-banville,L3-cap-herps-banville.csv,CAP,knb-lter-cap.627.3,http://dx.doi.org/10.6073/pasta/2999764ec0527e78d44cc9ea9fc14bf0,0.1,active,mobile,consumers,terrestrial,herps,2013,5,5,7,18,herps
mcr-inverts-castorani,L3-mcr-inverts-castorani.csv,MCR,knb-lter-mcr.7.28,http://dx.doi.org/10.6073/pasta/8e7b3a0c7a8bf315739921861cc79d10,0.02,active,mobile,consumers,marine,invertebrates,2005,11,11,6,13,inverts
mcr-algae-castorani,L3-mcr-algae-castorani.csv,MCR,knb-lter-mcr.8.28,http://dx.doi.org/10.6073/pasta/79a6edbcf3aa2380d43deed778856416,0.005,passive,sessile,primary producers,marine,algae,2006,10,10,6,73,algae
mcr-coral-castorani,L3-mcr-coral-castorani.csv,MCR,knb-lter-mcr.4.33,http://dx.doi.org/10.6073/pasta/1f05f1f52a2759dc096da9c24e88b1e8,0.005,passive,sessile,consumers,marine,coral,2005,11,11,6,31,coral
